Edge_ID,From_Node,From_Node_Name,To_Node,To_Node_Name,Mode,country,Distance,Cost_c1,Cost_c2,Time,Carbon,Capacity
E1,N1,沈阳,N11,满洲里,1,国内公路,1434,25,9,15.9,0.00151,100000
E2,N1,沈阳,N12,二连浩特,1,国内公路,1218,25,9,13.5,0.00151,100000
E3,N1,沈阳,N13,阿拉山口,1,国内公路,3964,25,9,44,0.00151,100000
E4,N1,沈阳,N14,霍尔果斯,1,国内公路,4104,25,9,45.6,0.00151,100000
E5,N1,沈阳,N15,喀什,1,国内公路,4633,25,9,51.5,0.00151,100000
E6,N2,郑州,N11,满洲里,1,国内公路,2227,25,9,24.7,0.00151,100000
E7,N2,郑州,N12,二连浩特,1,国内公路,1177,25,9,13.1,0.00151,100000
E8,N2,郑州,N13,阿拉山口,1,国内公路,3515,25,9,39.1,0.00151,100000
E9,N2,郑州,N14,霍尔果斯,1,国内公路,3657,25,9,40.6,0.00151,100000
E10,N2,郑州,N15,喀什,1,国内公路,4185,25,9,46.5,0.00151,100000
E11,N3,西安,N11,满洲里,1,国内公路,2502,25,9,27.8,0.00151,100000
E12,N3,西安,N12,二连浩特,1,国内公路,1346,25,9,15,0.00151,100000
E13,N3,西安,N13,阿拉山口,1,国内公路,3051,25,9,33.9,0.00151,100000
E14,N3,西安,N14,霍尔果斯,1,国内公路,3194,25,9,35.5,0.00151,100000
E15,N3,西安,N15,喀什,1,国内公路,3722,25,9,41.4,0.00151,100000
E16,N4,成都,N11,满洲里,1,国内公路,3223,25,9,35.8,0.00151,100000
E17,N4,成都,N12,二连浩特,1,国内公路,2068,25,9,23,0.00151,100000
E18,N4,成都,N13,阿拉山口,1,国内公路,3381,25,9,37.6,0.00151,100000
E19,N4,成都,N14,霍尔果斯,1,国内公路,3524,25,9,39.2,0.00151,100000
E20,N4,成都,N15,喀什,1,国内公路,4051,25,9,45,0.00151,100000
E21,N5,重庆,N11,满洲里,1,国内公路,3179,25,9,35.3,0.00151,100000
E22,N5,重庆,N12,二连浩特,1,国内公路,2023,25,9,22.5,0.00151,100000
E23,N5,重庆,N13,阿拉山口,1,国内公路,3494,25,9,38.8,0.00151,100000
E24,N5,重庆,N14,霍尔果斯,1,国内公路,3637,25,9,40.4,0.00151,100000
E25,N5,重庆,N15,喀什,1,国内公路,4164,25,9,46.3,0.00151,100000
E26,N6,武汉,N11,满洲里,1,国内公路,3183,25,9,35.4,0.00151,100000
E27,N6,武汉,N12,二连浩特,1,国内公路,1722,25,9,19.1,0.00151,100000
E28,N6,武汉,N13,阿拉山口,1,国内公路,3780,25,9,42,0.00151,100000
E29,N6,武汉,N14,霍尔果斯,1,国内公路,3922,25,9,43.6,0.00151,100000
E30,N6,武汉,N15,喀什,1,国内公路,4450,25,9,49.4,0.00151,100000
E31,N7,大连,N11,满洲里,1,国内公路,1817,25,9,20.2,0.00151,100000
E32,N7,大连,N12,二连浩特,1,国内公路,1370,25,9,15.2,0.00151,100000
E33,N7,大连,N13,阿拉山口,1,国内公路,4117,25,9,45.7,0.00151,100000
E34,N7,大连,N14,霍尔果斯,1,国内公路,4260,25,9,47.3,0.00151,100000
E35,N7,大连,N15,喀什,1,国内公路,4787,25,9,53.2,0.00151,100000
E36,N8,青岛,N11,满洲里,1,国内公路,2561,25,9,28.5,0.00151,100000
E37,N8,青岛,N12,二连浩特,1,国内公路,1316,25,9,14.6,0.00151,100000
E38,N8,青岛,N13,阿拉山口,1,国内公路,3937,25,9,43.7,0.00151,100000
E39,N8,青岛,N14,霍尔果斯,1,国内公路,4079,25,9,45.3,0.00151,100000
E40,N8,青岛,N15,喀什,1,国内公路,4607,25,9,51.2,0.00151,100000
E41,N9,上海,N11,满洲里,1,国内公路,3115,25,9,34.6,0.00151,100000
E42,N9,上海,N12,二连浩特,1,国内公路,1870,25,9,20.8,0.00151,100000
E43,N9,上海,N13,阿拉山口,1,国内公路,4491,25,9,49.9,0.00151,100000
E44,N9,上海,N14,霍尔果斯,1,国内公路,4633,25,9,51.5,0.00151,100000
E45,N9,上海,N15,喀什,1,国内公路,5161,25,9,57.3,0.00151,100000
E46,N10,广州,N11,满洲里,1,国内公路,3657,25,9,40.6,0.00151,100000
E47,N10,广州,N12,二连浩特,1,国内公路,2605,25,9,28.9,0.00151,100000
E48,N10,广州,N13,阿拉山口,1,国内公路,4667,25,9,51.9,0.00151,100000
E49,N10,广州,N14,霍尔果斯,1,国内公路,4810,25,9,53.4,0.00151,100000
E50,N10,广州,N15,喀什,1,国内公路,5337,25,9,59.3,0.00151,100000
E51,N1,沈阳,N11,满洲里,3,国内班列,1419,532,3.357,21.5,0.000902,100000
E52,N1,沈阳,N12,二连浩特,3,国内班列,1526,532,3.357,23.1,0.000902,100000
E53,N1,沈阳,N13,阿拉山口,3,国内班列,4259,532,3.357,64.5,0.000902,100000
E54,N1,沈阳,N14,霍尔果斯,3,国内班列,4116.6,532,3.357,62.4,0.000902,100000
E55,N1,沈阳,N15,喀什,3,国内班列,4618.7,532,3.357,70,0.000902,100000
E56,N2,郑州,N11,满洲里,3,国内班列,2704,532,3.357,41,0.000902,100000
E57,N2,郑州,N12,二连浩特,3,国内班列,1403,532,3.357,21.3,0.000902,100000
E58,N2,郑州,N13,阿拉山口,3,国内班列,3669,532,3.357,55.6,0.000902,100000
E59,N2,郑州,N14,霍尔果斯,3,国内班列,3485.2,532,3.357,52.8,0.000902,100000
E60,N2,郑州,N15,喀什,3,国内班列,3990.4,532,3.357,60.5,0.000902,100000
E61,N3,西安,N11,满洲里,3,国内班列,3103,532,3.357,47,0.000902,100000
E62,N3,西安,N12,二连浩特,3,国内班列,1917,532,3.357,29,0.000902,100000
