Node_ID,Node_Name
N1,沈阳
N2,郑州
N3,西安
N4,成都
N5,重庆
N6,武汉
N7,大连
N8,青岛
N9,上海
N10,深圳
N11,满洲里
N12,二连浩特
N13,阿拉山口
N14,霍尔果斯
N15,喀什
N16,新加坡
N17,乌兰乌德
N18,扎雷克
N19,阿雷西
N20,安集延
N21,莫斯科
N22,阿克套
N23,土库曼巴希
N24,德黑兰
N25,巴库
N26,伊斯坦布尔
N27,凡城
N28,塔特万
N29,柏林
N30,新加坡
N31,鹿特丹
N32,汉堡
N33,合肥
G1,纳乌什基（蒙）-苏赫巴托尔（俄）
G2,依列茨克(哈）-卡尼赛（俄）
G3,巴拉沙克（哈）-谢尔赫佳卡（土）
G4,法拉普（土）-霍贾达弗里亚特（乌）
G5,谢拉赫斯（土）-萨拉赫斯（伊）
G6,萨雷-阿加什（哈）-克列斯（乌）
G7,加尔达巴尼（格）-别尤克-基亚西克（阿塞）
G8,克拉斯诺耶（俄）-奥辛诺夫卡（白）
G9,布列斯特（白）-马拉舍维奇（欧）
G10,卡皮库勒（土）-斯维伦格勒（欧）
